CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP516004.108	MM982	982	WA077	IVP35	4x	4x	TRUE	4x-12L-12L	NA	inducer	PM	NA	.	broken
CIP516004.109	MM983	983	WA077	IVP35	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516004.110	MM984	984	WA077	IVP35	4x	4x	TRUE	4x-1S+2S.2L-6S.6L-11S.11L-12L	NA	-1S inducer +2S.2L inducer -6S.6L inducer -11S.11L non-inducer -12L inducer	atiPM	shatter watch	numerical	broken
CIP516004.111	MM985	985	WA077	IVP35	4x	4x	TRUE	4x-3S.3L+9S.9L-10S.10L-11S.11L-11S.11L	NA	-3S.3L non-inducer +9S.9L non-inducer -10S.10L non-inducer -11S.11L non-inducer -11S.11L non-inducer	atiPM	severe maternal aneuploidy; 2 of 2 postembryonic maternal elimination	numerical	.
CIP516004.112	MM986	986	WA077	IVP35	5x	5x	TRUE	5x+4S.4L-11S-11S	NA	4S.4L non-inducer 11S non-inducer	PM	NA	numerical	broken
CIP516004.113	MM987	987	WA077	IVP35	3x	3x	TRUE	3x-1S	36	-1S non-inducer	atiPM	NA	.	broken
CIP516004.114	MM988	988	WA077	IVP35	4x	4x	TRUE	4x-3L+7S.7L+complex8	NA	-3L inducer +7S.7L non-inducer +complex8 inducer	PM	shatter watch	numerical	broken
CIP516004.115	MM989	989	WA077	IVP35	4x	4x	TRUE	4x-3L	NA	-3L inducer	PM	shatter watch	.	broken
CIP516004.116	MM990	990	WA077	IVP35	3x	3x	TRUE	3x+8S.8L	37	8S.8L unclear	PM	NA	numerical	.
CIP516004.117	MM991	991	WA077	IVP35	4x	4x	TRUE	4x-2L	NA	non-inducer	PM	NA	numerical	.
CIP516008.031	MM992	992	LR00014	PL4	4x	4x	TRUE	4x+10S.10L	NA	non-inducer	PM	baseline chorm RD is low	numerical	.
CIP516008.032	MM993	993	LR00014	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.033	MM994	994	LR00014	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.034	MM995	995	LR00014	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.035	MM996	996	LR00014	PL4	4x	4x	TRUE	4x-4S-6L-12S.12L	NA	inducer	PM	shatter watch	numerical	broken
CIP516008.036	MM997	997	LR00014	PL4	4x	4x	TRUE	4x-1S.1L-4S.4L-10L-12L	NA	inducer	atiPM	shatter watch	numerical	broken
CIP516008.037	MM998	998	LR00014	PL4	4x	4x	TRUE	clean	24	NA	PM	10L inducer SNP deficiency	.	.
CIP316610.103	MM999	999	LR00022	PL4	4x	NA	NA	4x-complex9	NA	NA	atiPM	shatter watch	.	broken
CIP316610.104	MM1000	1000	LR00022	PL4	3x-4x	NA	NA	clean	24	NA	putDH	not a hybrid	.	.
CIP516021.023	MM1001	1001	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.024	MM1002	1002	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.025	MM1003	1003	93.003	PL4	2x-3x	NA	NA	3x-6S.6L+8S.8L-10S.10L+complex11+complex12	NA	NA	putDH	dosage ok; snp noisy; shatter watch	numerical	broken
CIP516009.001	MM1004	1004	458	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.283	MM1005	1005	C93154	PL4	4x	NA	NA	clean	24	NA	putDH	NA	.	.
