sample	unit	fq1	fq2	parhap	mother	inducer
MM1152	KFRAG_01332_c	KFRAG_01332_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1153	KFRAG_01333	KFRAG_01333.fq.gz	NaN	haploid	LR00_014	IVP35
MM1153	KFRAG_01333_b	KFRAG_01333_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1153	KFRAG_01333_c	KFRAG_01333_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1154	KFRAG_01334	KFRAG_01334.fq.gz	NaN	haploid	LR00_014	IVP35
MM1154	KFRAG_01334_b	KFRAG_01334_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1154	KFRAG_01334_c	KFRAG_01334_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1155	KFRAG_01335	KFRAG_01335.fq.gz	NaN	haploid	LR00_014	IVP35
MM1155	KFRAG_01335_b	KFRAG_01335_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1155	KFRAG_01335_c	KFRAG_01335_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1156	KFRAG_01336	KFRAG_01336.fq.gz	NaN	haploid	LR00_014	IVP35
MM1156	KFRAG_01336_b	KFRAG_01336_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1156	KFRAG_01336_c	KFRAG_01336_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1157	KFRAG_01337	KFRAG_01337.fq.gz	NaN	haploid	LR00_014	IVP35
MM1157	KFRAG_01337_b	KFRAG_01337_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1157	KFRAG_01337_c	KFRAG_01337_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1158	KFRAG_01338	KFRAG_01338.fq.gz	NaN	haploid	LR00_014	IVP35
MM1158	KFRAG_01338_b	KFRAG_01338_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1158	KFRAG_01338_c	KFRAG_01338_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1159	KFRAG_01339	KFRAG_01339.fq.gz	NaN	haploid	LR00_014	IVP35
MM1159	KFRAG_01339_b	KFRAG_01339_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1159	KFRAG_01339_c	KFRAG_01339_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1160	KFRAG_01340	KFRAG_01340.fq.gz	NaN	haploid	LR00_014	IVP35
MM1160	KFRAG_01340_b	KFRAG_01340_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1160	KFRAG_01340_c	KFRAG_01340_c.fq.gz	NaN	haploid	LR00_014	IVP35
